"Country or Area","Year","Item","Value"
"Afghanistan","2015","Gross Domestic Product (GDP)","623.184798424718"
"Albania","2015","Gross Domestic Product (GDP)","3984.23430170379"
"Algeria","2015","Gross Domestic Product (GDP)","4154.11831853941"
"Andorra","2015","Gross Domestic Product (GDP)","39896.3769360088"
"Angola","2015","Gross Domestic Product (GDP)","4714.06595591947"
"Anguilla","2015","Gross Domestic Product (GDP)","21879.5776753899"
"Antigua and Barbuda","2015","Gross Domestic Product (GDP)","14764.4895094402"
"Argentina","2015","Gross Domestic Product (GDP)","14564.5012685773"
"Armenia","2015","Gross Domestic Product (GDP)","3489.12764155997"
"Aruba","2015","Gross Domestic Product (GDP)","26005.4094047843"
"Australia","2015","Gross Domestic Product (GDP)","51352.1972220032"
"Austria","2015","Gross Domestic Product (GDP)","44117.6911494585"
"Azerbaijan","2015","Gross Domestic Product (GDP)","5438.71106141704"
"Bahamas","2015","Gross Domestic Product (GDP)","22817.2309500308"
"Bahrain","2015","Gross Domestic Product (GDP)","22600.2140981035"
"Bangladesh","2015","Gross Domestic Product (GDP)","1207.89593214378"
"Barbados","2015","Gross Domestic Product (GDP)","15429.3960698767"
"Belarus","2015","Gross Domestic Product (GDP)","5750.8383431033"
"Belgium","2015","Gross Domestic Product (GDP)","40277.8058530984"
"Belize","2015","Gross Domestic Product (GDP)","4789.37334916098"
"Benin","2015","Gross Domestic Product (GDP)","779.067857876455"
"Bermuda","2015","Gross Domestic Product (GDP)","94399.9462615315"
"Bhutan","2015","Gross Domestic Product (GDP)","2677.09308427205"
"Bolivia (Plurinational State of)","2015","Gross Domestic Product (GDP)","3076.7934157589"
"Bosnia and Herzegovina","2015","Gross Domestic Product (GDP)","4264.95373288177"
"Botswana","2015","Gross Domestic Product (GDP)","6360.61981004054"
"Brazil","2015","Gross Domestic Product (GDP)","8528.32505114074"
"British Virgin Islands","2015","Gross Domestic Product (GDP)","30144.4843775941"
"Brunei Darussalam","2015","Gross Domestic Product (GDP)","30552.659474689"
"Bulgaria","2015","Gross Domestic Product (GDP)","6846.77167020133"
"Burkina Faso","2015","Gross Domestic Product (GDP)","611.132876944978"
"Burundi","2015","Gross Domestic Product (GDP)","244.615216124977"
"Cabo Verde","2015","Gross Domestic Product (GDP)","3080.18474551164"
"Cambodia","2015","Gross Domestic Product (GDP)","1158.68990352486"
"Cameroon","2015","Gross Domestic Product (GDP)","1217.26161463687"
"Canada","2015","Gross Domestic Product (GDP)","43205.6429056011"
"Cayman Islands","2015","Gross Domestic Product (GDP)","62131.9549329367"
"Central African Republic","2015","Gross Domestic Product (GDP)","333.188549959116"
"Chad","2015","Gross Domestic Product (GDP)","713.049250814551"
"Chile","2015","Gross Domestic Product (GDP)","13416.2303619726"
"China, Hong Kong SAR","2015","Gross Domestic Product (GDP)","42431.0121174821"
"China, Macao Special Administrative Region","2015","Gross Domestic Product (GDP)","78586.3518773504"
"China","2015","Gross Domestic Product (GDP)","8109.0550673983"
"Colombia","2015","Gross Domestic Product (GDP)","6056.14781704063"
"Comoros","2015","Gross Domestic Product (GDP)","1368.85393708354"
"Congo","2015","Gross Domestic Product (GDP)","1838.10126582124"
"Cook Islands","2015","Gross Domestic Product (GDP)","14118.6937608132"
"Costa Rica","2015","Gross Domestic Product (GDP)","11014.9788218303"
"Côte d'Ivoire","2015","Gross Domestic Product (GDP)","1412.94023340913"
"Croatia","2015","Gross Domestic Product (GDP)","11479.4028771849"
"Cuba","2015","Gross Domestic Product (GDP)","7656.63081625328"
"Curaçao","2015","Gross Domestic Product (GDP)","20049.9402349103"
"Cyprus","2015","Gross Domestic Product (GDP)","21941.9019631898"
"Czech Republic","2015","Gross Domestic Product (GDP)","17561.7085358369"
"Democratic People's Republic of Korea","2015","Gross Domestic Product (GDP)","648.030979417317"
"Democratic Republic of the Congo","2015","Gross Domestic Product (GDP)","486.226656854987"
"Denmark","2015","Gross Domestic Product (GDP)","53149.3250570265"
"Djibouti","2015","Gross Domestic Product (GDP)","1956.31354875787"
"Dominica","2015","Gross Domestic Product (GDP)","7051.10256527854"
"Dominican Republic","2015","Gross Domestic Product (GDP)","6373.55387983325"
"Ecuador","2015","Gross Domestic Product (GDP)","6205.06414529951"
"Egypt","2015","Gross Domestic Product (GDP)","3452.34084845693"
"El Salvador","2015","Gross Domestic Product (GDP)","4219.35226112174"
"Equatorial Guinea","2015","Gross Domestic Product (GDP)","16344.081898564"
"Eritrea","2015","Gross Domestic Product (GDP)","914.874571216281"
"Estonia","2015","Gross Domestic Product (GDP)","17111.9963312466"
"Ethiopia","2015","Gross Domestic Product (GDP)","602.840167333313"
"Fiji","2015","Gross Domestic Product (GDP)","4921.91830257969"
"Finland","2015","Gross Domestic Product (GDP)","42148.0912236222"
"France","2015","Gross Domestic Product (GDP)","36304.1543743294"
"French Polynesia","2015","Gross Domestic Product (GDP)","18161.0389397566"
"Gabon","2015","Gross Domestic Product (GDP)","7960.71560363083"
"Gambia","2015","Gross Domestic Product (GDP)","473.162842920671"
"Georgia","2015","Gross Domestic Product (GDP)","3491.43612800612"
"Germany","2015","Gross Domestic Product (GDP)","41686.2134213695"
"Ghana","2015","Gross Domestic Product (GDP)","1355.57197052322"
"Greece","2015","Gross Domestic Product (GDP)","17787.950751035"
"Greenland","2015","Gross Domestic Product (GDP)","36976.6552767488"
"Grenada","2015","Gross Domestic Product (GDP)","8933.80974768356"
"Guatemala","2015","Gross Domestic Product (GDP)","3903.48319311737"
"Guinea","2015","Gross Domestic Product (GDP)","703.87339985881"
"Guinea-Bissau","2015","Gross Domestic Product (GDP)","530.040453756163"
"Guyana","2015","Gross Domestic Product (GDP)","4278.80643272326"
"Haiti","2015","Gross Domestic Product (GDP)","793.681051758765"
"Honduras","2015","Gross Domestic Product (GDP)","2521.94204861877"
"Hungary","2015","Gross Domestic Product (GDP)","12350.5752556485"
"Iceland","2015","Gross Domestic Product (GDP)","50936.0212101745"
"India","2015","Gross Domestic Product (GDP)","1614.15533741417"
"Indonesia","2015","Gross Domestic Product (GDP)","3346.48703037017"
"Iran, Islamic Republic of","2015","Gross Domestic Product (GDP)","5038.12735680008"
"Iraq","2015","Gross Domestic Product (GDP)","4509.02431137919"
"Ireland","2015","Gross Domestic Product (GDP)","60513.6250155242"
"Israel","2015","Gross Domestic Product (GDP)","37129.4389096141"
"Italy","2015","Gross Domestic Product (GDP)","30462.3810858898"
"Jamaica","2015","Gross Domestic Product (GDP)","5105.79376486538"
