"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2017","Medium","35530.081"
"Afghanistan","2017","High","35545.028"
"Afghanistan","2017","Low","35375.664"
"Afghanistan","2017","Constant fertility","35720.603"
"Afghanistan","2017","Instant replacement","34677.264"
"Afghanistan","2017","Zero migration","35588.458"
"Afghanistan","2017","Constant mortality","35416.817"
"Afghanistan","2017","No change","35674.237"
"Afghanistan","2017","Momentum","34766.412"
"Albania","2017","Medium","2930.187"
"Albania","2017","High","2939.291"
"Albania","2017","Low","2924.635"
"Albania","2017","Constant fertility","2931.566"
"Albania","2017","Instant replacement","2943.201"
"Albania","2017","Zero migration","2948.365"
"Albania","2017","Constant mortality","2929.973"
"Albania","2017","No change","2929.556"
"Albania","2017","Momentum","2954.794"
"Algeria","2017","Medium","41318.142"
"Algeria","2017","High","41438.482"
"Algeria","2017","Low","41190.841"
"Algeria","2017","Constant fertility","41468.945"
"Algeria","2017","Instant replacement","41026.464"
"Algeria","2017","Zero migration","41335.653"
"Algeria","2017","Constant mortality","41292.608"
"Algeria","2017","No change","41446.463"
"Algeria","2017","Momentum","41029.442"
"American Samoa","2017","Medium","55.641"
"American Samoa","2017","High","55.745"
"American Samoa","2017","Low","55.461"
"American Samoa","2017","Constant fertility","55.711"
"American Samoa","2017","Instant replacement","55.018"
"American Samoa","2017","Zero migration","57.507"
"American Samoa","2017","Constant mortality","55.579"
"American Samoa","2017","No change","55.681"
"American Samoa","2017","Momentum","56.498"
"Andorra","2017","Medium","76.965"
"Andorra","2017","High","77.612"
"Andorra","2017","Low","77.179"
"Andorra","2017","Constant fertility","77.412"
"Andorra","2017","Instant replacement","77.723"
"Andorra","2017","Zero migration","78.189"
"Andorra","2017","Constant mortality","77.347"
"Andorra","2017","No change","77.361"
"Andorra","2017","Momentum","78.135"
"Angola","2017","Medium","29784.193"
"Angola","2017","High","29846.012"
"Angola","2017","Low","29702.475"
"Angola","2017","Constant fertility","29872.937"
"Angola","2017","Instant replacement","28721.176"
"Angola","2017","Zero migration","29774.737"
"Angola","2017","Constant mortality","29741.178"
"Angola","2017","No change","29839.904"
"Angola","2017","Momentum","28707.805"
"Anguilla","2017","Medium","14.909"
"Anguilla","2017","High","14.974"
"Anguilla","2017","Low","14.887"
"Anguilla","2017","Constant fertility","14.945"
"Anguilla","2017","Instant replacement","14.979"
"Anguilla","2017","Zero migration","14.808"
"Anguilla","2017","Constant mortality","14.921"
"Anguilla","2017","No change","14.935"
"Anguilla","2017","Momentum","14.898"
"Antigua and Barbuda","2017","Medium","102.012"
"Antigua and Barbuda","2017","High","102.299"
"Antigua and Barbuda","2017","Low","101.712"
"Antigua and Barbuda","2017","Constant fertility","102.078"
"Antigua and Barbuda","2017","Instant replacement","102.035"
"Antigua and Barbuda","2017","Zero migration","102.027"
"Antigua and Barbuda","2017","Constant mortality","101.954"
"Antigua and Barbuda","2017","No change","102.029"
"Antigua and Barbuda","2017","Momentum","102.013"
"Argentina","2017","Medium","44271.041"
"Argentina","2017","High","44390.665"
"Argentina","2017","Low","44147.485"
"Argentina","2017","Constant fertility","44304.842"
"Argentina","2017","Instant replacement","44169.179"
"Argentina","2017","Zero migration","44258.906"
"Argentina","2017","Constant mortality","44244.369"
"Argentina","2017","No change","44279.837"
"Argentina","2017","Momentum","44139.544"
"Armenia","2017","Medium","2930.450"
"Armenia","2017","High","2938.238"
"Armenia","2017","Low","2919.635"
"Armenia","2017","Constant fertility","2931.491"
"Armenia","2017","Instant replacement","2951.656"
"Armenia","2017","Zero migration","2939.180"
"Armenia","2017","Constant mortality","2926.613"
"Armenia","2017","No change","2929.150"
"Armenia","2017","Momentum","2957.993"
"Aruba","2017","Medium","105.264"
"Aruba","2017","High","105.463"
"Aruba","2017","Low","104.992"
